lower,upper,duration,action,depth,size,hit,miss
4550001, 4600001, 1.96302, 0, 27, 73599312, 27430, 22570
4599957, 4549957, 1.8608, 3, 27, 72799312, 50000, 0
4600001, 4650001, 2.00371, 0, 27, 74399472, 27570, 22430
4649967, 4599967, 1.91849, 3, 27, 73599472, 50000, 0
4650001, 4700001, 1.93084, 0, 27, 75199072, 32657, 17343
4699942, 4649942, 1.9063, 3, 27, 74399072, 50000, 0
4700001, 4750001, 1.93949, 0, 27, 75999216, 33224, 16776
4749951, 4699951, 1.92658, 3, 27, 75199216, 50000, 0
4750001, 4800001, 1.96069, 0, 27, 76799088, 33427, 16573
4799943, 4749943, 1.9409, 3, 27, 75999088, 50000, 0
4800001, 4850001, 1.98014, 0, 27, 77599248, 34192, 15808
4849953, 4799953, 1.96889, 3, 27, 76799248, 50000, 0
4850001, 4900001, 2.02091, 0, 27, 78399120, 29119, 20881
4899945, 4849945, 1.9827, 3, 27, 77599120, 50000, 0
4900001, 4950001, 2.04052, 0, 27, 79199072, 28139, 21861
4949942, 4899942, 2.04234, 3, 27, 78399072, 50000, 0
4950001, 5000001, 2.14543, 0, 27, 79999328, 25756, 24244
4999958, 4949958, 2.03409, 3, 27, 79199328, 50000, 0
50000, 50000, 0.0163247, 2, 19, 800000, 0, 50000
50000, 50000, 0.0171528, 1, 19, 800000, 0, 50000
100000, 100000, 0.0347709, 2, 20, 1600000, 0, 50000
100000, 100000, 0.0370849, 1, 20, 1600000, 0, 50000
150000, 149998, 0.0571483, 2, 21, 2399968, 2, 49998
150000, 150000, 0.0547771, 1, 21, 2400000, 4, 49996
200000, 199998, 0.0705435, 2, 22, 3199968, 2, 49998
200000, 200000, 0.0734349, 1, 22, 3200000, 3, 49997
250000, 249999, 0.0900293, 2, 22, 3999984, 1, 49999
250000, 250000, 0.0921455, 1, 22, 4000000, 6, 49994
300000, 299996, 0.10933, 2, 22, 4799936, 4, 49996
300000, 300000, 0.110406, 1, 22, 4800000, 4, 49996
350000, 349998, 0.127725, 2, 23, 5599968, 2, 49998
350000, 350000, 0.13349, 1, 23, 5600000, 5, 49995
400000, 399995, 0.146553, 2, 23, 6399920, 5, 49995
400000, 400000, 0.148252, 1, 23, 6400000, 2, 49998
450000, 449996, 0.165954, 2, 23, 7199936, 4, 49996
450000, 450000, 0.167631, 1, 23, 7200000, 6, 49994
500000, 499996, 0.188619, 2, 23, 7999936, 4, 49996
500000, 500000, 0.195829, 1, 23, 8000000, 4, 49996
550000, 549994, 0.202542, 2, 23, 8799904, 6, 49994
550000, 550000, 0.207015, 1, 23, 8800000, 10, 49990
600000, 599997, 0.22521, 2, 24, 9599952, 3, 49997
600000, 600000, 0.223381, 1, 24, 9600000, 9, 49991
650000, 649991, 0.239849, 2, 24, 10399856, 9, 49991
650000, 650000, 0.241451, 1, 24, 10400000, 9, 49991
700000, 699989, 0.260386, 2, 24, 11199824, 11, 49989
700000, 700000, 0.262541, 1, 24, 11200000, 7, 49993
750000, 749988, 0.276604, 2, 24, 11999808, 12, 49988
750000, 750000, 0.281287, 1, 24, 12000000, 7, 49993
800000, 799989, 0.341878, 2, 24, 12799824, 11, 49989
800000, 800000, 0.318326, 1, 24, 12800000, 10, 49990
850000, 849992, 0.323657, 2, 24, 13599872, 8, 49992
850000, 850000, 0.323133, 1, 24, 13600000, 8, 49992
900000, 899989, 0.338748, 2, 24, 14399824, 11, 49989
900000, 900000, 0.343206, 1, 24, 14400000, 6, 49994
950000, 949990, 0.355759, 2, 24, 15199840, 10, 49990
950000, 950000, 0.359508, 1, 24, 15200000, 11, 49989
1000000, 999992, 0.378657, 2, 24, 15999872, 8, 49992
1000000, 1000000, 0.372201, 1, 24, 16000000, 22, 49978
1050000, 1049986, 0.393307, 2, 24, 16799776, 14, 49986
1050000, 1050000, 0.397611, 1, 24, 16800000, 14, 49986
1100000, 1099982, 0.414932, 2, 25, 17599712, 18, 49982
1100000, 1100000, 0.409324, 1, 25, 17600000, 13, 49987
1150000, 1149983, 0.432044, 2, 25, 18399728, 17, 49983
1150000, 1150000, 0.432131, 1, 25, 18400000, 11, 49989
1200000, 1199985, 0.455025, 2, 25, 19199760, 15, 49985
1200000, 1200000, 0.449022, 1, 25, 19200000, 8, 49992
1250000, 1249987, 0.477719, 2, 25, 19999792, 13, 49987
1250000, 1250000, 0.470427, 1, 25, 20000000, 12, 49988
1300000, 1299981, 0.490143, 2, 25, 20799696, 19, 49981
1300000, 1300000, 0.488231, 1, 25, 20800000, 11, 49989
1350000, 1349982, 0.51105, 2, 25, 21599712, 18, 49982
1350000, 1350000, 0.507518, 1, 25, 21600000, 18, 49982
1400000, 1399981, 0.524367, 2, 25, 22399696, 19, 49981
1400000, 1400000, 0.52567, 1, 25, 22400000, 12, 49988
1450000, 1449989, 0.541531, 2, 25, 23199824, 11, 49989
1450000, 1450000, 0.546039, 1, 25, 23200000, 13, 49987
1500000, 1499984, 0.562971, 2, 25, 23999744, 16, 49984
1500000, 1500000, 0.562634, 1, 25, 24000000, 18, 49982
1550000, 1549983, 0.583704, 2, 25, 24799728, 17, 49983
1550000, 1550000, 0.58362, 1, 25, 24800000, 19, 49981
1600000, 1599977, 0.607603, 2, 25, 25599632, 23, 49977
1600000, 1600000, 0.603077, 1, 25, 25600000, 12, 49988
1650000, 1649975, 0.619695, 2, 25, 26399600, 25, 49975
1650000, 1650000, 0.617069, 1, 25, 26400000, 18, 49982
1700000, 1699985, 0.64141, 2, 25, 27199760, 15, 49985
1700000, 1700000, 0.638594, 1, 25, 27200000, 17, 49983
1750000, 1749979, 0.656327, 2, 25, 27999664, 21, 49979
1750000, 1750000, 0.658107, 1, 25, 28000000, 23, 49977
1800000, 1799981, 0.676594, 2, 25, 28799696, 19, 49981
1800000, 1800000, 0.677212, 1, 25, 28800000, 27, 49973
1850000, 1849991, 0.69957, 2, 26, 29599856, 9, 49991
1850000, 1850000, 0.695689, 1, 26, 29600000, 26, 49974
1900000, 1899976, 0.717509, 2, 26, 30399616, 24, 49976
