lower,upper,duration,action,depth,size,hit,miss
3400001, 3450001, 1.92866, 0, 0, 27599680, 49961, 39
3449961, 3399961, 1.98726, 3, 0, 27199680, 50000, 0
3450001, 3500001, 1.96401, 0, 0, 27999688, 49962, 38
3499962, 3449962, 1.99976, 3, 0, 27599688, 50000, 0
3500001, 3550001, 1.97443, 0, 0, 28399624, 49954, 46
3549954, 3499954, 2.03133, 3, 0, 27999624, 50000, 0
3550001, 3600001, 1.98909, 0, 0, 28799744, 49969, 31
3599969, 3549969, 2.03425, 3, 0, 28399744, 50000, 0
3600001, 3650001, 2.0108, 0, 0, 29199656, 49958, 42
3649958, 3599958, 2.07041, 3, 0, 28799656, 50000, 0
3650001, 3700001, 2.05189, 0, 0, 29599680, 49961, 39
3699961, 3649961, 2.11885, 3, 0, 29199680, 50000, 0
3700001, 3750001, 2.08579, 0, 0, 29999520, 49941, 59
3749941, 3699941, 2.13648, 3, 0, 29599520, 50000, 0
3750001, 3800001, 2.10451, 0, 0, 30399688, 49962, 38
3799962, 3749962, 2.16428, 3, 0, 29999688, 50000, 0
3800001, 3850001, 2.13086, 0, 0, 30799592, 49950, 50
3849950, 3799950, 2.16856, 3, 0, 30399592, 50000, 0
3850001, 3900001, 2.16454, 0, 0, 31199704, 49964, 36
3899964, 3849964, 2.20175, 3, 0, 30799704, 50000, 0
3900001, 3950001, 2.20044, 0, 0, 31599616, 49953, 47
3949953, 3899953, 2.26386, 3, 0, 31199616, 50000, 0
3950001, 4000001, 2.19624, 0, 0, 31999640, 49956, 44
3999956, 3949956, 2.27984, 3, 0, 31599640, 50000, 0
4000001, 4050001, 2.25967, 0, 0, 32399648, 49957, 43
4049957, 3999957, 2.34142, 3, 0, 31999648, 50000, 0
4050001, 4100001, 2.29546, 0, 0, 32799656, 49958, 42
4099958, 4049958, 2.31165, 3, 0, 32399656, 50000, 0
4100001, 4150001, 2.28101, 0, 0, 33199696, 49963, 37
4149963, 4099963, 2.34399, 3, 0, 32799696, 50000, 0
4150001, 4200001, 2.3289, 0, 0, 33599512, 49940, 60
4199940, 4149940, 2.36927, 3, 0, 33199512, 50000, 0
