lower,upper,duration,action,depth
16986,17715,9.16e-05,2,15
17715,18471,0.0001475,2,15
18471,19254,9.87e-05,2,15
19254,20064,0.0001006,2,15
20064,20903,0.0001712,2,15
20903,21770,0.00011,2,15
21770,22667,0.0001569,2,15
22667,23594,0.0001196,2,15
23594,24551,0.000121,2,15
24551,25539,0.0002035,2,15
25539,26559,0.0001537,2,15
26559,27611,0.000212,2,15
27611,28695,0.0001756,2,15
28695,29812,0.0002444,2,15
29812,30963,0.0002549,2,15
30963,32148,0.0002176,2,15
32148,33367,0.0002627,2,16
33367,34620,0.0003366,2,16
34620,35908,0.00025,2,16
35908,37231,0.0001838,2,16
37231,38590,0.0002419,2,16
38590,39984,0.0002591,2,16
39984,41414,0.000183,2,16
41414,42880,0.0002356,2,16
42880,44383,0.0002373,2,16
44383,45922,0.0002463,2,16
45922,47497,0.0002038,2,16
47497,49109,0.0002467,2,16
49109,50757,0.0002641,2,16
50757,52442,0.000273,2,16
52442,54164,0.0003221,2,16
54164,55922,0.0002281,2,16
55922,57717,0.0002648,2,16
57717,59548,0.0003072,2,16
59548,61416,0.0002814,2,16
61416,63320,0.0002802,2,16
63320,65260,0.0002942,2,16
65260,67236,0.0003169,2,17
67236,69247,0.0003134,2,17
69247,71294,0.000322,2,17
71294,73376,0.0003201,2,17
73376,75493,0.0003277,2,17
75493,77645,0.0003277,2,17
77645,79831,0.0003948,2,17
79831,82052,0.0004481,2,17
82052,84307,0.0004229,2,17
84307,86595,0.0004149,2,17
86595,88916,0.0003536,2,17
88916,91270,0.0003473,2,17
91270,93657,0.0003481,2,17
93657,96076,0.0003682,2,17
96076,98527,0.000415,2,17
98527,101009,0.0003896,2,17
101009,103522,0.0003948,2,17
103522,106066,0.0003814,2,17
106066,108640,0.0003927,2,17
108640,111244,0.000443,2,17
111244,113878,0.0003819,2,17
113878,116541,0.0003992,2,17
116541,119233,0.0004125,2,17
119233,121953,0.0006782,2,17
121953,124701,0.0005596,2,17
124701,127476,0.0005666,2,17
127476,130278,0.0007065,2,17
130278,133107,0.0004858,2,18
133107,135962,0.0005211,2,18
135962,138843,0.000502,2,18
138843,141750,0.0004695,2,18
141750,144682,0.000502,2,18
144682,147639,0.0005479,2,18
147639,150620,0.0005829,2,18
150620,153625,0.0006796,2,18
153625,156654,0.0006019,2,18
156654,159706,0.0006796,2,18
159706,162781,0.0006265,2,18
162781,165878,0.0006751,2,18
165878,168998,0.000602,2,18
168998,172139,0.0006912,2,18
172139,175302,0.0006102,2,18
175302,178486,0.0007125,2,18
178486,181691,0.0006089,2,18
181691,184916,0.0006748,2,18
184916,188161,0.000645,2,18
188161,191426,0.0008971,2,18
191426,194710,0.0005686,2,18
194710,198013,0.0005464,2,18
198013,201335,0.0005114,2,18
201335,204676,0.0006452,2,18
204676,208035,0.0005753,2,18
208035,211412,0.0004922,2,18
211412,214806,0.0006554,2,18
214806,218218,0.0005404,2,18
218218,221647,0.000579,2,18
221647,225092,0.0006919,2,18
225092,228554,0.0007003,2,18
228554,232032,0.0005652,2,18
232032,235526,0.0006239,2,18
235526,239036,0.0005574,2,18
239036,242561,0.0005721,2,18
242561,246101,0.0005533,2,18
246101,249656,0.0005129,2,18
249656,253226,0.0005717,2,18
253226,256810,0.0005517,2,18
256810,260409,0.0005472,2,18
260409,264022,0.0005898,2,19
264022,267648,0.0005915,2,19
267648,271288,0.0007823,2,19
271288,274941,0.0007568,2,19
274941,278607,0.000771,2,19
278607,282286,0.0006383,2,19
282286,285978,0.0007556,2,19
285978,289682,0.000586,2,19
289682,293399,0.0007098,2,19
293399,297128,0.0007776,2,19
297128,300869,0.0008759,2,19
300869,304622,0.0006996,2,19
304622,308386,0.0007923,2,19
308386,312161,0.0008867,2,19
312161,315948,0.0008653,2,19
315948,319746,0.0007344,2,19
319746,323555,0.0008374,2,19
323555,327374,0.0011945,2,19
327374,331204,0.0008128,2,19
331204,335044,0.0008002,2,19
335044,338894,0.0007527,2,19
338894,342755,0.0010992,2,19
342755,346625,0.0006184,2,19
346625,350505,0.0006428,2,19
350505,354395,0.0007582,2,19
354395,358294,0.0009181,2,19
358294,362203,0.0007443,2,19
362203,366121,0.0007868,2,19
366121,370048,0.0007112,2,19
370048,373984,0.0007103,2,19
373984,377929,0.0006664,2,19
377929,381883,0.0007494,2,19
381883,385845,0.0006895,2,19
385845,389816,0.0006928,2,19
389816,393795,0.0007938,2,19
393795,397782,0.0007193,2,19
397782,401777,0.0008151,2,19
401777,405780,0.0005985,2,19
405780,409791,0.0006556,2,19
409791,413810,0.000656,2,19
413810,417837,0.000632,2,19
417837,421871,0.000633,2,19
421871,425913,0.0006433,2,19
425913,429962,0.0006511,2,19
429962,434018,0.0006337,2,19
434018,438081,0.0006396,2,19
438081,442151,0.0006378,2,19
442151,446228,0.0006774,2,19
446228,450312,0.0006649,2,19
450312,454403,0.0006304,2,19
454403,458501,0.0006439,2,19
458501,462605,0.0006787,2,19
462605,466716,0.000901,2,19
466716,470833,0.0008567,2,19
470833,474957,0.0008864,2,19
474957,479087,0.0008431,2,19
479087,483223,0.0008226,2,19
483223,487365,0.0008436,2,19
487365,491513,0.0008343,2,19
491513,495667,0.0008573,2,19
495667,499827,0.0008697,2,19
499827,503993,0.0007462,2,20
