lower,upper,duration,action,depth,size,hit,miss
85000,85000,0.0052405,1,20,2720000,0,5000
90000,90000,0.0056309,2,21,2880000,0,5000
90000,90000,0.0056531,1,21,2880000,0,5000
95000,95000,0.0060171,2,21,3040000,0,5000
95000,95000,0.0066295,1,21,3040000,0,5000
100000,100000,0.0063687,2,21,3200000,0,5000
100000,100000,0.0068864,1,21,3200000,0,5000
105000,105000,0.0066684,2,21,3360000,0,5000
105000,105000,0.0081243,1,21,3360000,1,4999
110000,110000,0.0070908,2,21,3520000,0,5000
110000,110000,0.0080149,1,21,3520000,0,5000
115000,115000,0.0075504,2,21,3680000,0,5000
115000,115000,0.008659,1,21,3680000,0,5000
120000,120000,0.0118087,2,21,3840000,0,5000
120000,120000,0.0141996,1,21,3840000,0,5000
125000,125000,0.0101402,2,21,4000000,0,5000
125000,125000,0.014845,1,21,4000000,0,5000
130000,130000,0.0097111,2,21,4160000,0,5000
130000,130000,0.0124237,1,21,4160000,0,5000
135000,135000,0.0109935,2,21,4320000,0,5000
135000,135000,0.0126922,1,21,4320000,0,5000
140000,140000,0.011656,2,21,4480000,0,5000
140000,140000,0.0144898,1,21,4480000,0,5000
145000,145000,0.0122734,2,21,4640000,0,5000
145000,145000,0.0162244,1,21,4640000,0,5000
150000,150000,0.0134467,2,21,4800000,0,5000
150000,150000,0.0171041,1,21,4800000,0,5000
155000,155000,0.0144131,2,21,4960000,0,5000
155000,155000,0.0184869,1,21,4960000,0,5000
160000,160000,0.0160241,2,22,5120000,0,5000
160000,160000,0.0194813,1,22,5120000,0,5000
165000,165000,0.017332,2,22,5280000,0,5000
165000,165000,0.0211245,1,22,5280000,0,5000
170000,170000,0.0175569,2,22,5440000,0,5000
170000,170000,0.0220141,1,22,5440000,0,5000
175000,175000,0.0195449,2,22,5600000,0,5000
175000,175000,0.0281603,1,22,5600000,0,5000
180000,180000,0.0219126,2,22,5760000,0,5000
180000,180000,0.0252462,1,22,5760000,0,5000
185000,185000,0.0212037,2,22,5920000,0,5000
185000,185000,0.0259661,1,22,5920000,0,5000
190000,190000,0.0220505,2,22,6080000,0,5000
190000,190000,0.0272457,1,22,6080000,0,5000
195000,195000,0.0236079,2,22,6240000,0,5000
195000,195000,0.0275158,1,22,6240000,0,5000
200000,200000,0.0245848,2,22,6400000,0,5000
200000,200000,0.0285791,1,22,6400000,0,5000
205000,205000,0.0257823,2,22,6560000,0,5000
205000,205000,0.030003,1,22,6560000,1,4999
210000,210000,0.0267476,2,22,6720000,0,5000
210000,210000,0.0343403,1,22,6720000,0,5000
215000,214999,0.0343172,2,22,6879968,1,4999
215000,215000,0.0325634,1,22,6880000,0,5000
220000,220000,0.0290924,2,22,7040000,0,5000
220000,220000,0.0328253,1,22,7040000,0,5000
225000,224999,0.0299083,2,22,7199968,1,4999
225000,225000,0.0337741,1,22,7200000,0,5000
230000,229999,0.0316569,2,22,7359968,1,4999
230000,230000,0.0353806,1,22,7360000,1,4999
