lower,upper,duration,action,depth
21032,22109,0.0001679,2,15
22109,23238,0.000142,2,15
23238,24421,0.0001806,2,15
24421,25660,0.0001559,2,15
25660,26958,0.0001957,2,15
26958,28317,0.0002015,2,15
28317,29741,0.0001761,2,15
29741,31232,0.0002244,2,15
31232,32793,0.0002322,2,16
32793,34427,0.0002486,2,16
34427,36137,0.0002179,2,16
36137,37927,0.000288,2,16
37927,39800,0.0002856,2,16
39800,41760,0.0003003,2,16
41760,43810,0.0003035,2,16
43810,45954,0.0003207,2,16
45954,48196,0.0003209,2,16
48196,50540,0.0003329,2,16
50540,52990,0.0003586,2,16
52990,55551,0.000444,2,16
55551,58227,0.0003953,2,16
58227,61022,0.0003911,2,16
61022,63941,0.000468,2,16
63941,66990,0.0004312,2,17
66990,70173,0.0004425,2,17
70173,73495,0.0004857,2,17
73495,76961,0.0005047,2,17
76961,80577,0.0004943,2,17
80577,84348,0.0005524,2,17
84348,88279,0.0005951,2,17
88279,92377,0.0006083,2,17
92377,96647,0.0006424,2,17
96647,101095,0.0006699,2,17
101095,105726,0.0007368,2,17
105726,110547,0.0008099,2,17
110547,115564,0.0007718,2,17
115564,120783,0.0008715,2,17
120783,126211,0.0007938,2,17
126211,131853,0.0008643,2,18
131853,137716,0.000925,2,18
137716,143806,0.0009165,2,18
143806,150130,0.0009881,2,18
150130,156694,0.0010729,2,18
156694,163504,0.001109,2,18
163504,170567,0.0011157,2,18
170567,177889,0.0012254,2,18
177889,185476,0.0011723,2,18
185476,193334,0.0013528,2,18
193334,201469,0.0011915,2,18
201469,209887,0.001286,2,18
209887,218594,0.0013222,2,18
218594,227596,0.0014164,2,18
227596,236899,0.0015285,2,18
236899,246507,0.0015203,2,18
246507,256427,0.0015743,2,18
256427,266663,0.0017213,2,19
266663,277220,0.0016995,2,19
277220,288103,0.0016692,2,19
288103,299316,0.0017146,2,19
299316,310863,0.0018294,2,19
310863,322749,0.0018977,2,19
322749,334977,0.0020267,2,19
334977,347551,0.0020531,2,19
347551,360474,0.0021231,2,19
360474,373749,0.002126,2,19
373749,387378,0.0020933,2,19
387378,401364,0.0022789,2,19
401364,415709,0.0024183,2,19
415709,430415,0.0024488,2,19
430415,445484,0.0024109,2,19
445484,460917,0.002402,2,19
460917,476715,0.0025207,2,19
476715,492878,0.0025433,2,19
492878,509408,0.0027472,2,19
509408,526304,0.0026651,2,20
526304,543566,0.0028171,2,20
543566,561194,0.0028674,2,20
561194,579187,0.0028535,2,20
579187,597545,0.0030661,2,20
597545,616266,0.0031346,2,20
616266,635349,0.0030978,2,20
635349,654793,0.0031666,2,20
654793,674595,0.0036104,2,20
674595,694754,0.0038084,2,20
694754,715268,0.0034027,2,20
715268,736135,0.0035579,2,20
736135,757351,0.0035269,2,20
757351,778915,0.0033673,2,20
778915,800823,0.0035151,2,20
800823,823073,0.0036681,2,20
823073,845661,0.0036865,2,20
845661,868585,0.0036699,2,20
868585,891841,0.0037481,2,20
891841,915425,0.0039504,2,20
915425,939334,0.0039884,2,20
939334,963565,0.0043112,2,20
963565,988114,0.0040615,2,20
988114,1012977,0.0040674,2,20
1012977,1038150,0.0038751,2,20
1038150,1063629,0.0040794,2,21
1063629,1089411,0.0044083,2,21
1089411,1115492,0.0043128,2,21
1115492,1141868,0.0041444,2,21
1141868,1168534,0.0045747,2,21
1168534,1195487,0.00453,2,21
1195487,1222723,0.0047814,2,21
1222723,1250238,0.0048791,2,21
1250238,1278027,0.0045467,2,21
1278027,1306087,0.0043996,2,21
1306087,1334414,0.0045486,2,21
1334414,1363004,0.0047839,2,21
1363004,1391853,0.004735,2,21
