lower,upper,duration,action,depth,size,hit,miss
3750001,3800001,0.835507,0,27,121598784,32009,17991
3799962,3749962,0.831152,3,27,119998784,50000,0
3800001,3850001,0.850468,0,27,123198400,25621,24379
3849950,3799950,0.852378,3,27,121598400,50000,0
3850001,3900001,0.873993,0,27,124798848,32366,17634
3899964,3849964,0.846587,3,27,123198848,50000,0
3900001,3950001,0.907926,0,27,126398496,28152,21848
3949953,3899953,0.91979,3,27,124798496,50000,0
3950001,4000001,0.886659,0,27,127998592,31958,18042
3999956,3949956,0.872724,3,27,126398592,50000,0
4000001,4050001,0.892114,0,27,129598624,34963,15037
4049957,3999957,0.892363,3,27,127998624,50000,0
4050001,4100001,0.92024,0,27,131198656,28109,21891
4099958,4049958,1.01187,3,27,129598656,50000,0
4100001,4150001,1.06068,0,27,132798816,31549,18451
4149963,4099963,0.932213,3,27,131198816,50000,0
4150001,4200001,0.947827,0,27,134398080,33333,16667
4199940,4149940,0.915355,3,27,132798080,50000,0
4200001,4250001,0.9405,0,27,135998464,27341,22659
4249952,4199952,0.925138,3,27,134398464,50000,0
4250001,4300001,0.946225,0,27,137598496,31816,18184
4299953,4249953,0.941447,3,27,135998496,50000,0
4300001,4350001,0.959893,0,27,139198272,30333,19667
4349946,4299946,0.949555,3,27,137598272,50000,0
4350001,4400001,0.970415,0,27,140798528,33550,16450
4399954,4349954,0.968712,3,27,139198528,50000,0
4400001,4450001,0.983576,0,27,142398080,32480,17520
4449940,4399940,0.969592,3,27,140798080,50000,0
4450001,4500001,0.988041,0,27,143998368,31727,18273
4499949,4449949,0.979134,3,27,142398368,50000,0
4500001,4550001,1.00279,0,27,145597984,28373,21627
4549937,4499937,0.993501,3,27,143997984,50000,0
4550001,4600001,1.01648,0,27,147198624,31108,18892
4599957,4549957,1.00233,3,27,145598624,50000,0
4600001,4650001,1.02045,0,27,148798944,27577,22423
4649967,4599967,1.01431,3,27,147198944,50000,0
4650001,4700001,1.03103,0,27,150398144,29394,20606
4699942,4649942,1.0229,3,27,148798144,50000,0
4700001,4750001,1.04162,0,27,151998432,27551,22449
4749951,4699951,1.03619,3,27,150398432,50000,0
4750001,4800001,1.0604,0,27,153598176,27617,22383
4799943,4749943,1.05526,3,27,151998176,50000,0
4800001,4850001,1.13598,0,27,155198496,35224,14776
4849953,4799953,1.12566,3,27,153598496,50000,0
4850001,4900001,1.16604,0,27,156798240,35138,14862
4899945,4849945,1.19024,3,27,155198240,50000,0
4900001,4950001,1.1356,0,27,158398144,23035,26965
4949942,4899942,1.15081,3,27,156798144,50000,0
4950001,5000001,1.13488,0,27,159998656,32545,17455
4999958,4949958,1.10214,3,27,158398656,50000,0
50000,50000,0.0043385,2,19,1600000,0,50000
50000,50000,0.0038064,1,19,1600000,0,50000
100000,100000,0.0076761,2,20,3200000,0,50000
